Region_Code,Prefecture,Total_Population,Japanese_Population,Population_Under_15,Population_15_to_64,Population_65_and_Over,Foreign_Population,Number_of_Births,Total_Fertility_Rate,Number_of_Deaths,In_Migrants_Japanese,Out_Migrants_Japanese,Number_of_Private_Households,Private_Household_Members,One_Person_Households,Number_of_Marriages,Number_of_Divorces,Total_Area_sq_km,Habitable_Area_sq_km,Natural_Park_Area_sq_km,Gross_Prefectural_Product_2015_base,Prefectural_Income_2015_base,Per_Capita_Prefectural_Income_2015_base,Number_of_Establishments_Private,Establishments_Construction_Private,Establishments_Manufacturing_Private,Establishments_Information_and_Communications_Private,Establishments_Wholesale_and_Retail_Private,Establishments_Accommodation_and_Food_Services_Private,Establishments_Living_related_and_Amusement_Services_Private,Establishments_Medical_and_Welfare_Private,Number_of_Employees_Private,Employees_Construction_Private,Employees_Manufacturing_Private,Employees_Information_and_Communications_Private,Employees_Wholesale_and_Retail_Private,Employees_Accommodation_and_Food_Services_Private,Employees_Living_related_and_Amusement_Services_Private,Employees_Medical_and_Welfare_Private,Commercial_Farm_Households,Non_commercial_Farm_Households,Cultivated_Land_Area,Number_of_Hotels_and_Ryokans,Number_of_Guest_Rooms,Number_of_Kindergartens,Kindergarten_Enrollment,Number_of_Elementary_Schools,Elementary_School_Pupils,Number_of_Junior_High_Schools,Junior_High_School_Students,Number_of_Compulsory_Education_Schools,Students_in_Early_Grades_Compulsory_Ed,Students_in_Later_Grades_Compulsory_Ed,Number_of_Senior_High_Schools,Senior_High_School_Students,Number_of_Junior_Colleges,Number_of_Universities,Junior_College_Students,University_Students,Number_of_Community_Centers,Number_of_Libraries,Number_of_Museums,Number_of_Theaters_and_Concert_Halls,Public_Sports_Facilities,Private_Sports_Facilities,Number_of_Cinemas,Number_of_Passports_Issued,Total_Overnight_Guests,Total_Foreign_Overnight_Guests,Total_Dwellings,Vacant_Dwellings,Owned_Dwellings,Detached_Houses,Floor_Area_per_Dwelling_sq_m,Total_Population_Sewage,Population_without_Flush_Toilets,Total_Waste_Discharge_t,Waste_Discharge_per_Person_per_Day_g,Recycling_Rate_pct,Number_of_Retail_Stores,Number_of_Restaurants,Number_of_Large_Scale_Retail_Stores,Number_of_General_Hospitals,Number_of_General_Clinics,Number_of_Dental_Clinics,Number_of_Physicians,Number_of_Dentists,Number_of_Pharmacists,Number_of_Daycare_Centers,Children_in_Daycare,Consumer_Expenditure_Two_or_more_person_households,Food_Expenses_Two_or_more_person_households,Housing_Expenses_Two_or_more_person_households,Culture_and_Recreation_Expenses_Two_or_more_person_households
R17000,石川県,1109000,1091000,128000,643000,338000,13685,7075,1.38,14316,16107,18348,468835,1097311,162531,4214,1255,418620,139463,52564,4527743,3137513,2770,56437,5808,6328,597,13686,6452,4701,3969,543315,38327,108811,10892,111987,47737,20299,67835,9263,6611,40100,733,29635,43,3578,202,55181,90,29094,3,172,99,56,28988,4,14,1126,27701,290,41,31,28,715,268,6,23334,7970020,932860,554000,86400,315000,318800,121.60,1118773,22971,371877,911,14.4,9730,5208,156,78,886,479,3390,734,2853,346,33485,306536,86611,14674,31999
R18000,福井県,744000,729000,89000,421000,235000,13796,4861,1.50,10519,8135,10742,290692,746456,86282,2815,850,419054,107730,61912,3571069,2440488,3182,39859,4521,4746,341,9510,4759,3366,2586,373974,31696,80836,5157,69965,29487,12821,47484,9777,6281,39600,900,15524,60,857,191,37597,80,20549,1,391,317,32,20350,1,6,392,9932,206,37,22,19,482,128,4,14624,2586240,55840,341400,53100,210600,214300,136.71,761667,28263,254970,917,13.0,6992,3619,111,57,573,300,2132,446,1500,289,24337,276690,75825,13596,25844
R19000,山梨県,796000,776000,87000,456000,253000,13993,4759,1.40,11090,12998,13814,338057,789586,110192,2875,1128,446527,95310,121207,3552685,2415384,2982,40814,4170,4091,336,9216,5663,3469,3048,366260,24637,77913,4621,69692,36785,16093,48887,14178,13808,23100,1330,27303,54,3241,176,37448,92,20231,0,0,0,40,21471,3,7,811,15850,284,53,21,22,588,219,4,16874,6010700,1146270,427000,87200,231100,242100,109.27,813723,30331,282526,951,15.8,6976,4080,141,52,752,429,2148,600,1861,233,18339,297715,78204,17630,25664
R20000,長野県,2004000,1965000,228000,1120000,655000,31491,12143,1.43,28503,26807,28391,829979,1998549,257508,7288,2559,1356156,324893,277994,8214074,5710416,2788,99571,10675,9766,949,22746,13597,8188,7411,929898,63789,215969,12599,174971,82961,35431,126732,40510,49276,104400,2557,63260,91,7888,359,98334,193,52811,6,613,321,99,50607,8,11,1947,17295,1789,120,83,47,1828,470,16,35811,13414630,1064660,1039600,208500,591500,605000,119.48,2045500,104886,598783,802,22.0,17067,9345,344,110,1606,991,5290,1654,4667,562,47111,313991,79401,15655,31189
R21000,岐阜県,1931000,1868000,224000,1104000,603000,48979,11124,1.36,26175,24559,29781,779029,1937236,228715,6525,2565,1062129,221063,195093,7662998,5688594,2875,92210,9708,12132,559,21788,10697,7758,7286,884667,60279,219331,6612,169131,72424,35466,117310,19924,29012,54400,1073,26194,145,16164,351,96495,181,52631,6,1832,974,82,48480,11,13,2978,19813,281,72,23,46,1083,627,6,41195,5019310,647670,924100,148400,567700,571000,120.25,1947992,77128,610529,859,16.9,16086,8902,242,85,1636,949,4630,1717,4108,415,36543,320779,76644,12770,25924
R22000,静岡県,3555000,3449000,404000,2050000,1101000,86046,20575,1.33,47334,48516,55276,1480969,3551043,472201,13127,4957,777707,277443,84045,17105232,11298478,3110,161789,16470,17620,1387,38644,18752,14040,12538,1730955,102701,441001,20605,315878,142314,62865,204400,24426,26310,59400,2571,68611,328,24401,493,175775,290,95770,1,71,44,136,88766,5,14,1631,33336,50,96,43,53,1267,908,17,77589,18063770,903850,1774100,296300,989600,964200,103.26,3639490,62514,1115285,840,18.4,28140,15115,568,139,2761,1743,8535,2371,8403,693,65191,300652,85135,19678,28942
R23000,愛知県,7477000,7195000,927000,4627000,1923000,231369,51152,1.35,81183,104565,107208,3233126,7412091,1175221,33434,11061,517309,299578,88881,39659291,25857505,3428,299232,27164,32549,3873,70359,33907,23871,24849,3818542,217282,908754,89548,734065,291069,133282,413770,25906,35149,72500,1214,68158,390,57300,967,395820,434,207714,2,283,149,221,181249,18,52,4758,177582,327,97,43,81,1735,1764,29,223635,17210700,1919760,3664700,433000,1913500,1638000,94.49,7516070,92991,2371103,864,22.2,46122,29431,1094,281,5617,3703,18516,6063,16239,1582,156689,300221,88312,13435,30824
R24000,三重県,1727000,1669000,198000,999000,529000,44721,10489,1.40,23341,23783,29504,741183,1728038,244698,6443,2481,577448,206414,208477,8273134,5219509,2948,72261,7422,6789,469,17456,8007,6125,5977,798103,46857,207911,5707,142069,63978,30097,107481,18062,15468,56400,1284,30450,150,10149,363,86500,167,46472,1,140,96,70,42567,4,7,1319,13609,312,47,21,35,624,439,10,36837,6288320,162090,873500,142700,526100,526400,110.44,1772560,83131,595589,921,19.7,13337,6361,250,81,1526,805,4395,1138,3607,426,38489,332663,81408,20307,33346
R25000,滋賀県,1407000,1367000,182000,844000,380000,28704,9766,1.43,15043,25545,26222,570529,1391113,182011,5642,1836,401738,129957,149957,6739736,4378638,3097,53748,5472,5143,384,12061,5291,4357,4733,617826,30556,165973,3748,110072,48564,21722,80398,13807,8164,50000,492,15053,121,8521,219,78073,103,40845,2,295,170,56,35868,3,9,714,32099,78,51,15,35,548,347,8,38901,4010950,258650,664200,81600,410400,382900,113.04,1414582,37482,407605,789,16.1,9361,4211,229,51,1145,564,3575,828,3359,337,34119,305586,83265,13467,30228
R26000,京都府,2535000,2465000,275000,1507000,753000,52442,15068,1.18,31491,51833,55653,1188903,2523758,489815,9571,3514,461220,117729,94896,10167991,7077197,2745,110564,8588,11992,1223,26212,13840,8422,9299,1148970,52159,180810,19435,239889,115266,41805,176055,13616,11337,29400,978,49952,189,17204,365,116346,188,63604,10,3016,1473,105,65266,9,34,2548,146710,144,68,38,33,638,592,13,84178,26464250,9950040,1372200,180400,717700,635300,85.20,2565281,68793,721419,770,14.7,19321,11460,403,149,2496,1281,9067,1965,6806,512,53838,314636,85900,23779,29737
