Region_Code,Prefecture,Total_Population,Japanese_Population,Population_Under_15,Population_15_to_64,Population_65_and_Over,Foreign_Population,Number_of_Births,Total_Fertility_Rate,Number_of_Deaths,In_Migrants_Japanese,Out_Migrants_Japanese,Number_of_Private_Households,Private_Household_Members,One_Person_Households,Number_of_Marriages,Number_of_Divorces,Total_Area_sq_km,Habitable_Area_sq_km,Natural_Park_Area_sq_km,Gross_Prefectural_Product_2015_base,Prefectural_Income_2015_base,Per_Capita_Prefectural_Income_2015_base,Number_of_Establishments_Private,Establishments_Construction_Private,Establishments_Manufacturing_Private,Establishments_Information_and_Communications_Private,Establishments_Wholesale_and_Retail_Private,Establishments_Accommodation_and_Food_Services_Private,Establishments_Living_related_and_Amusement_Services_Private,Establishments_Medical_and_Welfare_Private,Number_of_Employees_Private,Employees_Construction_Private,Employees_Manufacturing_Private,Employees_Information_and_Communications_Private,Employees_Wholesale_and_Retail_Private,Employees_Accommodation_and_Food_Services_Private,Employees_Living_related_and_Amusement_Services_Private,Employees_Medical_and_Welfare_Private,Commercial_Farm_Households,Non_commercial_Farm_Households,Cultivated_Land_Area,Number_of_Hotels_and_Ryokans,Number_of_Guest_Rooms,Number_of_Kindergartens,Kindergarten_Enrollment,Number_of_Elementary_Schools,Elementary_School_Pupils,Number_of_Junior_High_Schools,Junior_High_School_Students,Number_of_Compulsory_Education_Schools,Students_in_Early_Grades_Compulsory_Ed,Students_in_Later_Grades_Compulsory_Ed,Number_of_Senior_High_Schools,Senior_High_School_Students,Number_of_Junior_Colleges,Number_of_Universities,Junior_College_Students,University_Students,Number_of_Community_Centers,Number_of_Libraries,Number_of_Museums,Number_of_Theaters_and_Concert_Halls,Public_Sports_Facilities,Private_Sports_Facilities,Number_of_Cinemas,Number_of_Passports_Issued,Total_Overnight_Guests,Total_Foreign_Overnight_Guests,Total_Dwellings,Vacant_Dwellings,Owned_Dwellings,Detached_Houses,Floor_Area_per_Dwelling_sq_m,Total_Population_Sewage,Population_without_Flush_Toilets,Total_Waste_Discharge_t,Waste_Discharge_per_Person_per_Day_g,Recycling_Rate_pct,Number_of_Retail_Stores,Number_of_Restaurants,Number_of_Large_Scale_Retail_Stores,Number_of_General_Hospitals,Number_of_General_Clinics,Number_of_Dental_Clinics,Number_of_Physicians,Number_of_Dentists,Number_of_Pharmacists,Number_of_Daycare_Centers,Children_in_Daycare,Consumer_Expenditure_Two_or_more_person_households,Food_Expenses_Two_or_more_person_households,Housing_Expenses_Two_or_more_person_households,Culture_and_Recreation_Expenses_Two_or_more_person_households
R37000,香川県,926000,910000,107000,517000,301000,10854,5802,1.45,13552,14730,16782,406062,920852,139818,3435,1472,187687,100503,20534,3734443,2628812,2766,44943,4261,3783,405,11378,4877,3690,3512,431667,31485,77328,6391,89793,33326,15986,60732,15942,13280,28500,332,13681,108,6823,160,47498,75,25113,0,0,0,40,23658,3,4,671,8971,153,30,15,14,474,211,5,16288,3555390,354670,492800,91500,276800,265300,108.96,958366,59947,295408,844,19.3,7957,4033,163,76,853,473,2846,703,2429,223,21738,286800,77148,14542,26394
R38000,愛媛県,1291000,1277000,143000,707000,441000,11159,7572,1.39,19993,16080,20205,599941,1295030,224773,4477,1928,567592,166574,41121,4827460,3297907,2471,59710,5925,4529,510,15214,6546,5405,5302,562714,42054,91837,8486,114243,43558,21581,95810,20639,14355,44300,425,17314,114,8481,279,63576,131,32779,0,0,0,65,30435,5,5,810,16850,433,44,25,27,650,256,9,19930,3556280,173480,736800,145600,381300,386600,100.11,1329990,102315,427021,880,16.0,11195,5383,197,121,1193,646,3888,919,3186,311,24227,223423,71088,17608,18615
R39000,高知県,666000,660000,70000,355000,242000,4220,3721,1.36,11472,8278,10309,314330,663963,122867,2189,1065,710228,115994,47504,2354276,1722911,2491,33064,2894,2090,252,8753,4751,3208,2905,275477,22182,27621,3594,60566,26944,11377,56449,12173,7751,25500,345,10350,36,2137,222,30103,122,16288,4,221,126,43,16462,1,5,418,9475,197,40,17,14,381,106,2,9211,2358440,77860,388100,78700,202900,209500,96.12,685824,88809,238412,952,20.1,6840,3785,103,108,528,346,2346,459,1792,245,18419,294877,80091,20254,26740
R40000,福岡県,5103000,5011000,644000,3007000,1452000,66699,35970,1.33,61302,97425,88783,2318479,4986247,942993,21840,8444,498765,276452,88101,18886929,13504933,2630,210530,19769,11417,3180,54567,24756,17527,21144,2309989,157435,250689,63139,484405,195226,83225,394940,27187,14164,78400,1157,64194,407,47629,714,274421,353,140707,8,1984,1031,163,123387,18,35,5404,108785,296,114,30,76,1284,1185,23,151000,18589500,4630330,2703300,335300,1238700,1007500,83.46,5156230,336894,1728247,918,21.8,37018,20975,700,390,4801,3074,16722,5703,12796,1065,116208,309000,80319,21148,30359
R41000,佐賀県,795000,786000,103000,440000,252000,5940,5552,1.53,11204,14481,15957,311173,781601,94280,2951,1041,244068,133458,26884,3045909,2089822,2575,35815,3376,2666,236,9320,4172,3080,3464,360756,26655,66085,3478,68287,28061,13175,67063,13293,5352,49900,338,9522,46,2926,163,42834,91,23136,6,1464,803,44,21997,3,2,738,7694,115,31,13,15,491,156,3,15820,2033030,142320,367900,53300,211800,214000,113.23,807770,123815,256459,870,18.8,7148,3435,88,82,702,399,2430,619,2013,263,23767,274861,74932,18473,22570
R42000,長崎県,1267000,1254000,153000,679000,435000,8316,8364,1.57,19309,20012,26369,556130,1259784,191470,4410,1751,413105,166804,74091,4538708,3258910,2483,58382,5502,3556,390,15456,6899,5345,6058,525985,40658,62362,5423,107763,44188,20518,111684,17329,10953,45200,623,22055,96,6613,318,66615,184,35119,2,31,16,79,33330,2,8,733,16686,150,40,16,37,817,174,4,21917,5854990,356020,655000,113000,348100,344600,97.95,1304929,238901,453706,953,16.0,11948,5501,169,119,1336,703,4424,1232,2950,490,36376,262243,76604,19933,18374
R43000,熊本県,1709000,1685000,219000,938000,552000,14591,11875,1.52,24427,26844,28286,716740,1678793,242940,6349,2482,740918,274668,155636,6105086,4341641,2498,72744,7351,3978,572,18834,8033,6590,7063,716508,53546,97524,8026,145168,58622,27690,142823,32529,15350,104300,998,28709,97,7057,330,94258,170,48877,3,193,96,73,43286,2,9,588,24140,315,52,19,35,907,300,10,34355,6738620,892190,851100,127100,451200,448800,98.72,1738157,131383,547102,862,19.8,14326,6339,172,165,1481,832,5428,1367,3983,623,53101,294537,79939,18740,27571
R44000,大分県,1096000,1079000,127000,594000,375000,10168,6798,1.49,16266,16852,19338,487679,1082266,175329,4037,1635,634070,179505,174730,4458030,2926445,2604,50589,4899,2832,394,12606,6296,4627,4691,475034,38390,68567,5861,91019,41558,18325,90114,18099,13855,54000,1018,25414,141,6306,260,54625,127,29304,2,795,412,54,28637,5,5,1738,15068,242,33,16,21,569,257,7,18901,5636660,920590,603300,115500,302800,295700,96.86,1123860,93735,384545,937,18.3,9680,4736,115,126,962,524,3459,737,2364,336,25785,304631,74200,24838,26562
R45000,宮崎県,1042000,1032000,133000,559000,351000,6474,7136,1.63,16111,16844,18573,468575,1030106,167776,3805,1759,773416,187508,91919,3602456,2448276,2289,48940,4860,2795,347,12268,6509,4815,4794,446103,34153,59990,5534,90051,35959,18477,83484,20304,10636,63700,408,15444,88,4575,232,57196,132,30341,4,459,214,51,28754,2,7,489,9461,86,34,8,24,663,244,5,13894,2752930,107330,556800,90700,304400,316700,94.35,1069891,67273,375930,963,16.9,9351,5519,136,115,918,488,2908,734,2288,419,31267,257997,73243,16714,19658
R46000,鹿児島県,1549000,1533000,197000,828000,524000,10037,10540,1.54,23925,24547,27761,725855,1528471,282664,5619,2455,918618,328724,127358,5610271,3824743,2408,71793,6442,4529,492,18837,8636,6677,7324,659951,50967,82126,6584,133323,55384,26773,140795,28199,20161,110700,848,27573,134,7425,491,85954,220,45323,10,875,519,89,41952,4,6,1668,15525,227,63,20,48,1008,433,5,19685,5790520,269980,899600,184200,450300,470200,88.49,1591851,127685,529085,911,16.1,14346,6756,159,193,1385,795,4668,1375,3307,584,38795,279132,74045,22957,23766
R47000,沖縄県,1468000,1443000,236000,882000,350000,18157,13594,1.70,15054,26410,27054,613294,1430169,229602,6546,3087,228209,112607,81558,4260875,3179860,2167,63593,4653,2765,782,14478,10393,5701,6018,584191,45133,32208,14136,120392,72285,24890,111028,10674,4073,36100,3023,63536,151,6518,266,100472,150,50484,0,0,0,64,42535,2,8,749,17937,88,39,18,18,434,439,11,40292,20038190,2536640,699400,65400,267100,234900,74.92,1482961,62243,475295,878,15.9,11398,8495,244,77,928,610,4029,889,2435,631,57035,251222,73453,27521,18482
